position_id,direction,start,end,filename,source_status,degraded_source_date,causal_records,records_last_30s,records_prior_30s,aligned_imbalance_last,aligned_imbalance_median_30s,aligned_imbalance_change_30s,aligned_persistence_30s,spread_ticks_last,staleness_ms,book_alignment_score,quality_eligible,quality_reason,decision_time_server,decision_time_utc,decision_year,open_time,close_time,decision_time,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r,entry_time_utc,exit_time_utc,stop_pips,target_pips,hold_minutes,decision_entry_lag_minutes,entry_minute_utc,entry_hour_utc,entry_weekday,entry_month,entry_year,exit_class,mfe_r,mae_r,mfe_5m_r,mae_5m_r,mfe_15m_r,mae_15m_r,mfe_30m_r,mae_30m_r,stratum,case_id
152,SELL,2019-04-23T23:58:00Z,2019-04-24T00:00:00Z,CTRL_PID000000152_20190424T000000Z.dbn.zst,nonempty,False,228,63,90,0.0792682926829268,0.0679012345679012,0.0400374574781179,0.746031746031746,0.9999999999976694,4039.58784,0.1669758546693531,True,PASS,2019.04.24 03:00:00,2019-04-24 00:00:00,2019,2019.04.24 03:05:00,2019.04.24 04:30:17,2019.04.24 03:00:00,0.3,1.12208,1.12133,1.12241,1.12142,33.0,9.9,21.3,2.1515151515151514,2019-04-24 00:05:00,2019-04-24 01:30:17,3.2999999999994145,6.599999999998829,85.28333333333333,5.0,5,0,Wednesday,2019-04,2019,TP_LIKE,3.5454545454548514,0.15151515151549813,0.21212121212129367,0.12121212121226393,0.5757575757574126,0.15151515151549813,0.8181818181819405,0.15151515151549813,EXTREME_WIN,F001_PID000000152
342,SELL,2019-09-02T23:58:00Z,2019-09-03T00:00:00Z,CTRL_PID000000342_20190903T000000Z.dbn.zst,nonempty,False,147,7,49,0.0254957507082152,0.0254957507082152,0.0577538152243443,1.0,1.99999999999978,5998.475264,0.2771863291601937,True,PASS,2019.09.03 03:00:00,2019-09-03 00:00:00,2019,2019.09.03 03:05:00,2019.09.03 04:04:27,2019.09.03 03:00:00,0.13,1.09573,1.0942,1.09647,1.09425,74.0,9.62,19.37,2.0135135135135136,2019-09-03 00:05:00,2019-09-03 01:04:27,7.399999999999629,14.800000000001479,59.45,5.0,5,0,Tuesday,2019-09,2019,TP_LIKE,2.229729729730046,0.2972972972971594,0.20270270270284058,0.21621621621614323,0.20270270270284058,0.2972972972971594,0.8108108108110622,0.2972972972971594,EXTREME_WIN,F002_PID000000342
710,SELL,2020-05-10T23:03:00Z,2020-05-10T23:05:00Z,CTRL_PID000000710_20200510T230500Z.dbn.zst,nonempty,False,436,281,138,-0.0519031141868512,0.0909090909090909,0.1229603729603729,0.7544483985765125,0.9999999999976694,1458.72,0.2034188379828949,True,PASS,2020.05.11 02:05:00,2020-05-10 23:05:00,2020,2020.05.11 02:10:00,2020.05.11 02:11:59,2020.05.11 02:05:00,0.49,1.08308,1.08331,1.08328,1.08268,20.0,9.8,-13.23,-1.3499999999999999,2020-05-10 23:10:00,2020-05-10 23:11:59,1.9999999999997797,3.9999999999995595,1.9833333333333334,5.0,1390,23,Sunday,2020-05,2020,SL_LIKE,0.20000000000022206,1.0,0.700000000000222,1.0,1.0500000000003331,1.0,1.0500000000003331,1.0,EXTREME_LOSS,F003_PID000000710
992,BUY,2020-10-26T01:08:00Z,2020-10-26T01:10:00Z,CTRL_PID000000992_20201026T011000Z.dbn.zst,nonempty,False,1527,307,338,-0.090497737556561,0.0300230946882217,0.0073986602990814,0.5472312703583062,1.0000000000021103,13.035264,0.0404768475980343,True,PASS,2020.10.26 03:10:00,2020-10-26 01:10:00,2020,2020.10.26 03:15:00,2020.10.26 03:15:59,2020.10.26 03:10:00,0.42,1.18489,1.18463,1.18466,1.18535,23.0,9.66,-12.6,-1.3043478260869565,2020-10-26 01:15:00,2020-10-26 01:15:59,2.2999999999995246,4.599999999999049,0.9833333333333333,5.0,75,1,Monday,2020-10,2020,SL_LIKE,-0.13043478260861172,1.1304347826086116,-0.13043478260861172,1.565217391304306,-0.13043478260861172,2.695652173913883,-0.13043478260861172,6.652173913044989,EXTREME_LOSS,F004_PID000000992
436,SELL,2019-11-04T00:28:00Z,2019-11-04T00:30:00Z,CTRL_PID000000436_20191104T003000Z.dbn.zst,nonempty,False,204,90,84,0.1156462585034013,0.110609480812641,0.0410269758424621,0.9444444444444444,0.9999999999976694,983.65696,0.2877837065891583,True,PASS,2019.11.04 02:30:00,2019-11-04 00:30:00,2019,2019.11.04 02:35:00,2019.11.04 02:46:06,2019.11.04 02:30:00,0.52,1.11639,1.116,1.11658,1.11601,19.0,9.88,18.200000000000003,1.842105263157895,2019-11-04 00:35:00,2019-11-04 00:46:06,1.8999999999991246,3.8000000000004697,11.1,5.0,35,0,Monday,2019-11,2019,TP_LIKE,2.21052631579095,0.05263157894773747,1.1578947368432124,0.05263157894773747,2.315789473685256,0.05263157894773747,2.315789473685256,0.05263157894773747,MEDIAN_WIN,F005_PID000000436
38,BUY,2019-01-25T02:18:00Z,2019-01-25T02:20:00Z,CTRL_PID000000038_20190125T022000Z.dbn.zst,nonempty,False,607,171,142,-0.074074074074074,0.0344827586206896,0.1076534903280067,0.6023391812865497,1.99999999999978,545.979392,0.0953243425356213,True,PASS,2019.01.25 04:20:00,2019-01-25 02:20:00,2019,2019.01.25 04:25:00,2019.01.25 04:39:26,2019.01.25 04:20:00,0.49,1.13113,1.13154,1.13093,1.13153,20.0,9.8,18.13,1.8499999999999999,2019-01-25 02:25:00,2019-01-25 02:39:26,1.9999999999997797,3.9999999999995595,14.433333333333334,5.0,145,2,Friday,2019-01,2019,TP_LIKE,2.350000000000111,0.44999999999966694,0.20000000000022206,0.44999999999966694,2.350000000000111,0.44999999999966694,4.100000000000666,0.44999999999966694,MEDIAN_WIN,F006_PID000000038
814,SELL,2020-07-09T00:48:00Z,2020-07-09T00:50:00Z,CTRL_PID000000814_20200709T005000Z.dbn.zst,nonempty,False,779,71,204,0.065989847715736,0.0831234256926952,0.0027646812980763,1.0,0.9999999999976694,1871.336192,0.2922528831708667,True,PASS,2020.07.09 03:50:00,2020-07-09 00:50:00,2020,2020.07.09 03:55:00,2020.07.09 04:54:25,2020.07.09 03:50:00,0.24,1.13343,1.13384,1.13383,1.13263,40.0,9.6,-10.8,-1.1250000000000002,2020-07-09 00:55:00,2020-07-09 01:54:25,3.9999999999995595,7.999999999999119,59.416666666666664,5.0,55,0,Thursday,2020-07,2020,SL_LIKE,1.700000000000222,1.1000000000001111,0.3249999999999445,0.25,1.049999999999778,0.25,1.1750000000000556,0.25,MEDIAN_LOSS,F007_PID000000814
370,SELL,2019-09-19T00:23:00Z,2019-09-19T00:25:00Z,CTRL_PID000000370_20190919T002500Z.dbn.zst,nonempty,False,971,222,66,0.1505154639175257,0.056075990828693,0.0324910851683157,0.9324324324324323,1.99999999999978,3696.466944,0.2523769829226417,True,PASS,2019.09.19 03:25:00,2019-09-19 00:25:00,2019,2019.09.19 03:30:00,2019.09.19 04:22:38,2019.09.19 03:25:00,0.3,1.1026,1.10292,1.10292,1.10196,32.0,9.6,-10.799999999999999,-1.125,2019-09-19 00:30:00,2019-09-19 01:22:38,3.1999999999987594,6.399999999999739,52.63333333333333,5.0,30,0,Thursday,2019-09,2019,SL_LIKE,1.031250000000217,1.0,0.06249999999973979,0.5312500000002168,0.46875000000047706,0.5937499999999566,1.031250000000217,0.5937499999999566,MEDIAN_LOSS,F008_PID000000370
484,BUY,2019-12-10T01:28:00Z,2019-12-10T01:30:00Z,CTRL_PID000000484_20191210T013000Z.dbn.zst,nonempty,False,782,218,320,-0.0285714285714285,0.0457144515717063,0.0283367109525167,0.7889908256880734,1.0000000000021103,4876.19584,0.1744368163680191,True,PASS,2019.12.10 03:30:00,2019-12-10 01:30:00,2019,2019.12.10 03:35:00,2019.12.10 05:35:30,2019.12.10 03:30:00,0.31,1.10669,1.10676,1.10638,1.10731,31.0,9.61,0.9299999999999999,0.0967741935483871,2019-12-10 01:35:00,2019-12-10 03:35:30,3.1000000000003247,6.200000000000649,120.5,5.0,95,1,Tuesday,2019-12,2019,TIMEOUT_OR_OTHER,1.2580645161292634,0.29032258064488403,0.2903225806456003,0.22580645161292634,0.2903225806456003,0.29032258064488403,0.4516129032258527,0.29032258064488403,MATCHED_BUY_WIN,F009_PID000000484
18,BUY,2019-01-14T01:03:00Z,2019-01-14T01:05:00Z,CTRL_PID000000018_20190114T010500Z.dbn.zst,nonempty,False,524,57,29,0.0105263157894736,0.1196581196581196,0.1628235872840189,0.631578947368421,1.99999999999978,1497.066496,0.166324430334275,True,PASS,2019.01.14 03:05:00,2019-01-14 01:05:00,2019,2019.01.14 03:10:00,2019.01.14 03:14:59,2019.01.14 03:05:00,0.32,1.14678,1.14646,1.14647,1.1474,31.0,9.92,-11.52,-1.161290322580645,2019-01-14 01:10:00,2019-01-14 01:14:59,3.0999999999981043,6.200000000000649,4.983333333333333,5.0,70,1,Monday,2019-01,2019,SL_LIKE,-0.290322580645092,1.0322580645163602,-0.290322580645092,1.0322580645163602,-0.1612903225803679,1.354838709677812,0.9677419354843562,1.354838709677812,MATCHED_BUY_LOSS,F010_PID000000018
